AI: OPTIMIZED, Smart relocation: True
Average requests per person per day, Waiting time, Travel time, Total time, Energy used
2, 1.79575, 6.41325, 8.209, 5.32283333333333
3, 2.01725, 6.68641666666667, 8.70366666666667, 5.55697222222222
